Bitcoin,BTC,https://coinmarketcap.com/currencies/bitcoin/,6227.5624757
Ethereum,ETH,https://coinmarketcap.com/currencies/ethereum/,201.485529786
XRP,XRP,https://coinmarketcap.com/currencies/ripple/,0.277875388678
Bitcoin Cash,BCH,https://coinmarketcap.com/currencies/bitcoin-cash/,474.233559268
EOS,EOS,https://coinmarketcap.com/currencies/eos/,4.74616539091
Stellar,XLM,https://coinmarketcap.com/currencies/stellar/,0.195335772618
Litecoin,LTC,https://coinmarketcap.com/currencies/litecoin/,53.0304845432
Tether,USDT,https://coinmarketcap.com/currencies/tether/,1.00282893593
Cardano,ADA,https://coinmarketcap.com/currencies/cardano/,0.0787648937489
Monero,XMR,https://coinmarketcap.com/currencies/monero/,104.71902958
Dash,DASH,https://coinmarketcap.com/currencies/dash/,191.829938234
IOTA,MIOTA,https://coinmarketcap.com/currencies/iota/,0.543654559123
TRON,TRX,https://coinmarketcap.com/currencies/tron/,0.0193821532408
NEO,NEO,https://coinmarketcap.com/currencies/neo/,18.4764667847
Ethereum Classic,ETC,https://coinmarketcap.com/currencies/ethereum-classic/,10.9443389131
Binance Coin,BNB,https://coinmarketcap.com/currencies/binance-coin/,9.46114155385
NEM,XEM,https://coinmarketcap.com/currencies/nem/,0.0969795316605
VeChain,VET,https://coinmarketcap.com/currencies/vechain/,0.0146936153302
Tezos,XTZ,https://coinmarketcap.com/currencies/tezos/,1.17910177129
Dogecoin,DOGE,https://coinmarketcap.com/currencies/dogecoin/,0.00558144377465
Zcash,ZEC,https://coinmarketcap.com/currencies/zcash/,122.854228412
OmiseGO,OMG,https://coinmarketcap.com/currencies/omisego/,3.43010691387
Lisk,LSK,https://coinmarketcap.com/currencies/lisk/,3.43839062715
Bytecoin,BCN,https://coinmarketcap.com/currencies/bytecoin-bcn/,0.00197217742235
Ontology,ONT,https://coinmarketcap.com/currencies/ontology/,1.87734026431
Bitcoin Gold,BTG,https://coinmarketcap.com/currencies/bitcoin-gold/,19.0358297802
Qtum,QTUM,https://coinmarketcap.com/currencies/qtum/,3.66116905162
0x,ZRX,https://coinmarketcap.com/currencies/0x/,0.57779296321
Decred,DCR,https://coinmarketcap.com/currencies/decred/,35.0741498518
Nano,NANO,https://coinmarketcap.com/currencies/nano/,2.14719849005
Zilliqa,ZIL,https://coinmarketcap.com/currencies/zilliqa/,0.0352183872113
Bitcoin Diamond,BCD,https://coinmarketcap.com/currencies/bitcoin-diamond/,1.74703258143
BitShares,BTS,https://coinmarketcap.com/currencies/bitshares/,0.0999397370583
DigiByte,DGB,https://coinmarketcap.com/currencies/digibyte/,0.023594576557
ICON,ICX,https://coinmarketcap.com/currencies/icon/,0.645254414488
Maker,MKR,https://coinmarketcap.com/currencies/maker/,369.893408498
Steem,STEEM,https://coinmarketcap.com/currencies/steem/,0.780839450766
Aeternity,AE,https://coinmarketcap.com/currencies/aeternity/,0.924001200286
Siacoin,SC,https://coinmarketcap.com/currencies/siacoin/,0.00541125966655
Verge,XVG,https://coinmarketcap.com/currencies/verge/,0.013002227537
Waves,WAVES,https://coinmarketcap.com/currencies/waves/,1.92115532381
Holo,HOT,https://coinmarketcap.com/currencies/holo/,0.00130915954412
Pundi X,NPXS,https://coinmarketcap.com/currencies/pundi-x/,0.00159587485317
Bytom,BTM,https://coinmarketcap.com/currencies/bytom/,0.163645875731
Basic Attenti...,BAT,https://coinmarketcap.com/currencies/basic-attention-token/,0.160154477702
Augur,REP,https://coinmarketcap.com/currencies/augur/,14.4643189811
Metaverse ETP,ETP,https://coinmarketcap.com/currencies/metaverse/,3.04649173855
Waltonchain,WTC,https://coinmarketcap.com/currencies/waltonchain/,3.53637583941
Populous,PPT,https://coinmarketcap.com/currencies/populous/,3.79924033807
Stratis,STRAT,https://coinmarketcap.com/currencies/stratis/,1.39204525272
Golem,GNT,https://coinmarketcap.com/currencies/golem-network-tokens/,0.134994923898
Komodo,KMD,https://coinmarketcap.com/currencies/komodo/,1.10274750548
Status,SNT,https://coinmarketcap.com/currencies/status/,0.0333906197208
Mithril,MITH,https://coinmarketcap.com/currencies/mithril/,0.284035938781
KuCoin Shares,KCS,https://coinmarketcap.com/currencies/kucoin-shares/,1.17048287882
Hshare,HSR,https://coinmarketcap.com/currencies/hshare/,2.38415504029
MaidSafeCoin,MAID,https://coinmarketcap.com/currencies/maidsafecoin/,0.222807532814
RChain,RHOC,https://coinmarketcap.com/currencies/rchain/,0.255223925028
MOAC,MOAC,https://coinmarketcap.com/currencies/moac/,1.55378104323
Ardor,ARDR,https://coinmarketcap.com/currencies/ardor/,0.0966629275132
IOST,IOST,https://coinmarketcap.com/currencies/iostoken/,0.0114012275463
Wanchain,WAN,https://coinmarketcap.com/currencies/wanchain/,0.898692577821
ReddCoin,RDD,https://coinmarketcap.com/currencies/reddcoin/,0.00319393313736
Cryptonex,CNX,https://coinmarketcap.com/currencies/cryptonex/,1.99106951723
Aion,AION,https://coinmarketcap.com/currencies/aion/,0.421393404497
Chainlink,LINK,https://coinmarketcap.com/currencies/chainlink/,0.248263652655
aelf,ELF,https://coinmarketcap.com/currencies/aelf/,0.344110113978
Dentacoin,DCN,https://coinmarketcap.com/currencies/dentacoin/,0.000260982102914
BitcoinDark,BTCD,https://coinmarketcap.com/currencies/bitcoindark/,62.7413186104
Huobi Token,HT,https://coinmarketcap.com/currencies/huobi-token/,1.58390883228
TrueUSD,TUSD,https://coinmarketcap.com/currencies/trueusd/,1.00326322245
DigixDAO,DGD,https://coinmarketcap.com/currencies/digixdao/,38.4495904419
